total_gold_earned_0, 41746
total_gold_spent_0, 37275
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 29
total_damage_dealt_to_champions_0, 67014
total_damage_dealt_to_objectives_0, 19143
total_damage_taken_0, 101366
average_vision_score_0, 23
total_wards_placed_0, 50
average_creep_score_0, 96
average_champion_experience_0, 10171
dmg_carry_0, 875
obj_carry_0, 875
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Singed
team_comp_0_champ_3, Zilean
team_comp_0_champ_4, Yasuo
team_comp_0_champ_5, Nami
total_gold_earned_1, 49484
total_gold_spent_1, 45375
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 29
total_deaths_1, 18
total_damage_dealt_to_champions_1, 79116
total_damage_dealt_to_objectives_1, 57214
total_damage_taken_1, 93837
average_vision_score_1, 20
total_wards_placed_1, 37
average_creep_score_1, 96
average_champion_experience_1, 11404
dmg_carry_1, 360
obj_carry_1, 360
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Morgana
gameLengthMin, 24
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
