total_gold_earned_0, 21618
total_gold_spent_0, 19600
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 8
total_deaths_0, 12
total_damage_dealt_to_champions_0, 19983
total_damage_dealt_to_objectives_0, 7076
total_damage_taken_0, 33375
average_vision_score_0, 7
total_wards_placed_0, 18
average_creep_score_0, 48
average_champion_experience_0, 5096
dmg_carry_0, 35
obj_carry_0, 35
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Annie
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Lux
total_gold_earned_1, 26264
total_gold_spent_1, 18825
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 8
total_damage_dealt_to_champions_1, 27067
total_damage_dealt_to_objectives_1, 16395
total_damage_taken_1, 33074
average_vision_score_1, 8
total_wards_placed_1, 23
average_creep_score_1, 64
average_champion_experience_1, 5988
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
