total_gold_earned_0, 83510
total_gold_spent_0, 74050
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 45
total_deaths_0, 50
total_damage_dealt_to_champions_0, 168394
total_damage_dealt_to_objectives_0, 91532
total_damage_taken_0, 175203
average_vision_score_0, 37
total_wards_placed_0, 86
average_creep_score_0, 142
average_champion_experience_0, 20542
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Talon
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Nami
total_gold_earned_1, 81171
total_gold_spent_1, 74358
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 50
total_deaths_1, 45
total_damage_dealt_to_champions_1, 142206
total_damage_dealt_to_objectives_1, 82612
total_damage_taken_1, 199230
average_vision_score_1, 43
total_wards_placed_1, 64
average_creep_score_1, 153
average_champion_experience_1, 19442
dmg_carry_1, 38
obj_carry_1, 38
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
