total_gold_earned_0, 50181
total_gold_spent_0, 46410
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 42
total_damage_dealt_to_champions_0, 88385
total_damage_dealt_to_objectives_0, 22007
total_damage_taken_0, 135741
average_vision_score_0, 21
total_wards_placed_0, 46
average_creep_score_0, 113
average_champion_experience_0, 11209
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Singed
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, MissFortune
total_gold_earned_1, 62460
total_gold_spent_1, 56165
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 23
total_damage_dealt_to_champions_1, 111512
total_damage_dealt_to_objectives_1, 57344
total_damage_taken_1, 114876
average_vision_score_1, 27
total_wards_placed_1, 53
average_creep_score_1, 130
average_champion_experience_1, 13856
dmg_carry_1, 203
obj_carry_1, 203
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Kindred
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
