total_gold_earned_0, 45825
total_gold_spent_0, 43835
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 38
total_damage_dealt_to_champions_0, 66245
total_damage_dealt_to_objectives_0, 25276
total_damage_taken_0, 103216
average_vision_score_0, 18
total_wards_placed_0, 37
average_creep_score_0, 91
average_champion_experience_0, 9800
dmg_carry_0, 110
obj_carry_0, 110
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Leona
total_gold_earned_1, 56314
total_gold_spent_1, 48500
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 25
total_damage_dealt_to_champions_1, 83836
total_damage_dealt_to_objectives_1, 75088
total_damage_taken_1, 93779
average_vision_score_1, 19
total_wards_placed_1, 43
average_creep_score_1, 89
average_champion_experience_1, 12044
dmg_carry_1, 777
obj_carry_1, 777
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
