total_gold_earned_0, 67905
total_gold_spent_0, 62850
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 39
total_deaths_0, 31
total_damage_dealt_to_champions_0, 139512
total_damage_dealt_to_objectives_0, 80218
total_damage_taken_0, 141349
average_vision_score_0, 32
total_wards_placed_0, 54
average_creep_score_0, 132
average_champion_experience_0, 16432
dmg_carry_0, 238
obj_carry_0, 238
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Teemo
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 60674
total_gold_spent_1, 57165
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 31
total_deaths_1, 39
total_damage_dealt_to_champions_1, 109523
total_damage_dealt_to_objectives_1, 25397
total_damage_taken_1, 174442
average_vision_score_1, 17
total_wards_placed_1, 39
average_creep_score_1, 127
average_champion_experience_1, 15323
dmg_carry_1, 41
obj_carry_1, 41
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Gangplank
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Renata
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
