total_gold_earned_0, 45463
total_gold_spent_0, 43350
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 20
total_deaths_0, 26
total_damage_dealt_to_champions_0, 63619
total_damage_dealt_to_objectives_0, 8470
total_damage_taken_0, 112112
average_vision_score_0, 21
total_wards_placed_0, 37
average_creep_score_0, 111
average_champion_experience_0, 11098
dmg_carry_0, 74
obj_carry_0, 74
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Senna
team_comp_0_champ_5, TahmKench
total_gold_earned_1, 53343
total_gold_spent_1, 47920
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 26
total_deaths_1, 20
total_damage_dealt_to_champions_1, 92324
total_damage_dealt_to_objectives_1, 82596
total_damage_taken_1, 95357
average_vision_score_1, 23
total_wards_placed_1, 62
average_creep_score_1, 109
average_champion_experience_1, 13400
dmg_carry_1, 236
obj_carry_1, 236
team_comp_1_champ_1, Yone
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Lissandra
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
