total_gold_earned_0, 42605
total_gold_spent_0, 41473
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 20
total_deaths_0, 9
total_damage_dealt_to_champions_0, 56952
total_damage_dealt_to_objectives_0, 68251
total_damage_taken_0, 61496
average_vision_score_0, 18
total_wards_placed_0, 44
average_creep_score_0, 102
average_champion_experience_0, 11321
dmg_carry_0, 19
obj_carry_0, 19
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Senna
total_gold_earned_1, 35976
total_gold_spent_1, 34193
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 9
total_deaths_1, 20
total_damage_dealt_to_champions_1, 37086
total_damage_dealt_to_objectives_1, 19361
total_damage_taken_1, 77571
average_vision_score_1, 17
total_wards_placed_1, 36
average_creep_score_1, 92
average_champion_experience_1, 9068
dmg_carry_1, 39
obj_carry_1, 39
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Azir
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
