total_gold_earned_0, 63206
total_gold_spent_0, 53500
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 42
total_deaths_0, 37
total_damage_dealt_to_champions_0, 98480
total_damage_dealt_to_objectives_0, 67054
total_damage_taken_0, 122608
average_vision_score_0, 25
total_wards_placed_0, 56
average_creep_score_0, 102
average_champion_experience_0, 12310
dmg_carry_0, 498
obj_carry_0, 498
team_comp_0_champ_1, TahmKench
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Pyke
total_gold_earned_1, 55934
total_gold_spent_1, 54918
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 42
total_damage_dealt_to_champions_1, 97896
total_damage_dealt_to_objectives_1, 45308
total_damage_taken_1, 123712
average_vision_score_1, 20
total_wards_placed_1, 52
average_creep_score_1, 96
average_champion_experience_1, 11962
dmg_carry_1, 429
obj_carry_1, 429
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Darius
team_comp_1_champ_3, Galio
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
