total_gold_earned_0, 49758
total_gold_spent_0, 48585
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 31
total_damage_dealt_to_champions_0, 68667
total_damage_dealt_to_objectives_0, 32794
total_damage_taken_0, 123200
average_vision_score_0, 30
total_wards_placed_0, 55
average_creep_score_0, 128
average_champion_experience_0, 11957
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Singed
team_comp_0_champ_2, Yorick
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Lulu
total_gold_earned_1, 60832
total_gold_spent_1, 55950
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 31
total_deaths_1, 10
total_damage_dealt_to_champions_1, 91804
total_damage_dealt_to_objectives_1, 56664
total_damage_taken_1, 104364
average_vision_score_1, 26
total_wards_placed_1, 56
average_creep_score_1, 136
average_champion_experience_1, 14459
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
