total_gold_earned_0, 54927
total_gold_spent_0, 52260
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 51
total_damage_dealt_to_champions_0, 95140
total_damage_dealt_to_objectives_0, 27477
total_damage_taken_0, 133734
average_vision_score_0, 24
total_wards_placed_0, 51
average_creep_score_0, 94
average_champion_experience_0, 12150
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, TahmKench
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Xerath
total_gold_earned_1, 64569
total_gold_spent_1, 56900
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 51
total_deaths_1, 34
total_damage_dealt_to_champions_1, 113194
total_damage_dealt_to_objectives_1, 72187
total_damage_taken_1, 129527
average_vision_score_1, 26
total_wards_placed_1, 56
average_creep_score_1, 109
average_champion_experience_1, 14631
dmg_carry_1, 39
obj_carry_1, 39
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
