total_gold_earned_0, 78670
total_gold_spent_0, 71325
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 49
total_deaths_0, 51
total_damage_dealt_to_champions_0, 154018
total_damage_dealt_to_objectives_0, 102118
total_damage_taken_0, 200049
average_vision_score_0, 40
total_wards_placed_0, 84
average_creep_score_0, 136
average_champion_experience_0, 18915
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Velkoz
team_comp_0_champ_3, Viego
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Taric
total_gold_earned_1, 83112
total_gold_spent_1, 74960
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 50
total_deaths_1, 49
total_damage_dealt_to_champions_1, 164346
total_damage_dealt_to_objectives_1, 55123
total_damage_taken_1, 182478
average_vision_score_1, 34
total_wards_placed_1, 87
average_creep_score_1, 152
average_champion_experience_1, 19948
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Udyr
team_comp_1_champ_2, Kindred
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
