total_gold_earned_0, 46445
total_gold_spent_0, 36783
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 34
total_deaths_0, 4
total_damage_dealt_to_champions_0, 57436
total_damage_dealt_to_objectives_0, 55631
total_damage_taken_0, 53489
average_vision_score_0, 17
total_wards_placed_0, 34
average_creep_score_0, 90
average_champion_experience_0, 9420
dmg_carry_0, 114
obj_carry_0, 114
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Lux
total_gold_earned_1, 27403
total_gold_spent_1, 24675
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 4
total_deaths_1, 34
total_damage_dealt_to_champions_1, 34360
total_damage_dealt_to_objectives_1, 10133
total_damage_taken_1, 76276
average_vision_score_1, 10
total_wards_placed_1, 27
average_creep_score_1, 75
average_champion_experience_1, 6900
dmg_carry_1, 143
obj_carry_1, 143
team_comp_1_champ_1, Nocturne
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
