total_gold_earned_0, 74836
total_gold_spent_0, 66250
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 55
total_deaths_0, 41
total_damage_dealt_to_champions_0, 180396
total_damage_dealt_to_objectives_0, 60079
total_damage_taken_0, 168054
average_vision_score_0, 21
total_wards_placed_0, 55
average_creep_score_0, 123
average_champion_experience_0, 17955
dmg_carry_0, 33
obj_carry_0, 33
team_comp_0_champ_1, Ornn
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 70177
total_gold_spent_1, 65920
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 41
total_deaths_1, 55
total_damage_dealt_to_champions_1, 138309
total_damage_dealt_to_objectives_1, 62052
total_damage_taken_1, 214388
average_vision_score_1, 33
total_wards_placed_1, 74
average_creep_score_1, 110
average_champion_experience_1, 15177
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Lillia
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
