total_gold_earned_0, 69966
total_gold_spent_0, 63085
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 4
total_kills_0, 48
total_deaths_0, 38
total_damage_dealt_to_champions_0, 145873
total_damage_dealt_to_objectives_0, 80533
total_damage_taken_0, 152246
average_vision_score_0, 30
total_wards_placed_0, 61
average_creep_score_0, 111
average_champion_experience_0, 15639
dmg_carry_0, 119
obj_carry_0, 119
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Swain
total_gold_earned_1, 63203
total_gold_spent_1, 60325
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 48
total_damage_dealt_to_champions_1, 109725
total_damage_dealt_to_objectives_1, 48184
total_damage_taken_1, 167314
average_vision_score_1, 30
total_wards_placed_1, 54
average_creep_score_1, 115
average_champion_experience_1, 14943
dmg_carry_1, 235
obj_carry_1, 235
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Senna
team_comp_1_champ_5, Leona
gameLengthMin, 34
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
