total_gold_earned_0, 40983
total_gold_spent_0, 36000
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 21
total_deaths_0, 11
total_damage_dealt_to_champions_0, 52227
total_damage_dealt_to_objectives_0, 30711
total_damage_taken_0, 48553
average_vision_score_0, 22
total_wards_placed_0, 43
average_creep_score_0, 92
average_champion_experience_0, 9955
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Rumble
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Jayce
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Bard
total_gold_earned_1, 32772
total_gold_spent_1, 31000
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 21
total_damage_dealt_to_champions_1, 33037
total_damage_dealt_to_objectives_1, 33018
total_damage_taken_1, 69346
average_vision_score_1, 12
total_wards_placed_1, 34
average_creep_score_1, 86
average_champion_experience_1, 8449
dmg_carry_1, 98
obj_carry_1, 98
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Zac
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Pyke
gameLengthMin, 23
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
