total_gold_earned_0, 60047
total_gold_spent_0, 55910
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 37
total_deaths_0, 17
total_damage_dealt_to_champions_0, 91538
total_damage_dealt_to_objectives_0, 76254
total_damage_taken_0, 92263
average_vision_score_0, 33
total_wards_placed_0, 70
average_creep_score_0, 114
average_champion_experience_0, 13385
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Brand
total_gold_earned_1, 45643
total_gold_spent_1, 43375
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 37
total_damage_dealt_to_champions_1, 61135
total_damage_dealt_to_objectives_1, 11624
total_damage_taken_1, 111225
average_vision_score_1, 25
total_wards_placed_1, 71
average_creep_score_1, 115
average_champion_experience_1, 11558
dmg_carry_1, 523
obj_carry_1, 523
team_comp_1_champ_1, TahmKench
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Orianna
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
