total_gold_earned_0, 63910
total_gold_spent_0, 61500
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 30
total_deaths_0, 33
total_damage_dealt_to_champions_0, 93955
total_damage_dealt_to_objectives_0, 33016
total_damage_taken_0, 132711
average_vision_score_0, 33
total_wards_placed_0, 67
average_creep_score_0, 130
average_champion_experience_0, 14350
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Senna
team_comp_0_champ_5, Neeko
total_gold_earned_1, 68179
total_gold_spent_1, 60300
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 33
total_deaths_1, 30
total_damage_dealt_to_champions_1, 103134
total_damage_dealt_to_objectives_1, 103124
total_damage_taken_1, 130842
average_vision_score_1, 23
total_wards_placed_1, 55
average_creep_score_1, 139
average_champion_experience_1, 16823
dmg_carry_1, 238
obj_carry_1, 238
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Amumu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
