total_gold_earned_0, 69172
total_gold_spent_0, 62810
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 43
total_deaths_0, 35
total_damage_dealt_to_champions_0, 141713
total_damage_dealt_to_objectives_0, 75089
total_damage_taken_0, 121786
average_vision_score_0, 27
total_wards_placed_0, 61
average_creep_score_0, 130
average_champion_experience_0, 16472
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Teemo
total_gold_earned_1, 58329
total_gold_spent_1, 56253
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 35
total_deaths_1, 43
total_damage_dealt_to_champions_1, 89782
total_damage_dealt_to_objectives_1, 22563
total_damage_taken_1, 163862
average_vision_score_1, 17
total_wards_placed_1, 31
average_creep_score_1, 120
average_champion_experience_1, 14365
dmg_carry_1, 34
obj_carry_1, 34
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Shaco
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
