total_gold_earned_0, 46182
total_gold_spent_0, 40985
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 25
total_deaths_0, 19
total_damage_dealt_to_champions_0, 55067
total_damage_dealt_to_objectives_0, 75976
total_damage_taken_0, 57444
average_vision_score_0, 20
total_wards_placed_0, 40
average_creep_score_0, 90
average_champion_experience_0, 9394
dmg_carry_0, 115
obj_carry_0, 115
team_comp_0_champ_1, Garen
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Ziggs
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Lux
total_gold_earned_1, 35862
total_gold_spent_1, 31495
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 19
total_deaths_1, 25
total_damage_dealt_to_champions_1, 40470
total_damage_dealt_to_objectives_1, 9275
total_damage_taken_1, 66564
average_vision_score_1, 14
total_wards_placed_1, 37
average_creep_score_1, 67
average_champion_experience_1, 7987
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
