total_gold_earned_0, 29212
total_gold_spent_0, 25460
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 9
total_deaths_0, 24
total_damage_dealt_to_champions_0, 37973
total_damage_dealt_to_objectives_0, 1920
total_damage_taken_0, 69241
average_vision_score_0, 14
total_wards_placed_0, 34
average_creep_score_0, 79
average_champion_experience_0, 7081
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Akali
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Zac
total_gold_earned_1, 44175
total_gold_spent_1, 37860
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 24
total_deaths_1, 9
total_damage_dealt_to_champions_1, 59515
total_damage_dealt_to_objectives_1, 77936
total_damage_taken_1, 60549
average_vision_score_1, 13
total_wards_placed_1, 31
average_creep_score_1, 86
average_champion_experience_1, 8603
dmg_carry_1, 31
obj_carry_1, 31
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Chogath
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
