total_gold_earned_0, 56383
total_gold_spent_0, 50875
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 43
total_deaths_0, 22
total_damage_dealt_to_champions_0, 97029
total_damage_dealt_to_objectives_0, 88822
total_damage_taken_0, 89317
average_vision_score_0, 18
total_wards_placed_0, 41
average_creep_score_0, 82
average_champion_experience_0, 11033
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Sett
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Brand
total_gold_earned_1, 38946
total_gold_spent_1, 35725
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 43
total_damage_dealt_to_champions_1, 64418
total_damage_dealt_to_objectives_1, 11811
total_damage_taken_1, 115879
average_vision_score_1, 14
total_wards_placed_1, 33
average_creep_score_1, 80
average_champion_experience_1, 8573
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, Olaf
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Sion
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
