total_gold_earned_0, 91317
total_gold_spent_0, 88623
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 4
total_kills_0, 66
total_deaths_0, 51
total_damage_dealt_to_champions_0, 188521
total_damage_dealt_to_objectives_0, 129986
total_damage_taken_0, 200706
average_vision_score_0, 30
total_wards_placed_0, 69
average_creep_score_0, 138
average_champion_experience_0, 20575
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Zoe
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Pyke
total_gold_earned_1, 82444
total_gold_spent_1, 78900
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 51
total_deaths_1, 66
total_damage_dealt_to_champions_1, 154901
total_damage_dealt_to_objectives_1, 73168
total_damage_taken_1, 220236
average_vision_score_1, 23
total_wards_placed_1, 59
average_creep_score_1, 158
average_champion_experience_1, 19410
dmg_carry_1, 200
obj_carry_1, 200
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
