total_gold_earned_0, 45080
total_gold_spent_0, 40630
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 32
total_deaths_0, 22
total_damage_dealt_to_champions_0, 54063
total_damage_dealt_to_objectives_0, 44513
total_damage_taken_0, 68553
average_vision_score_0, 17
total_wards_placed_0, 32
average_creep_score_0, 76
average_champion_experience_0, 8604
dmg_carry_0, 106
obj_carry_0, 106
team_comp_0_champ_1, Volibear
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Leblanc
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Akshan
total_gold_earned_1, 32477
total_gold_spent_1, 30560
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 21
total_deaths_1, 32
total_damage_dealt_to_champions_1, 46436
total_damage_dealt_to_objectives_1, 13461
total_damage_taken_1, 66118
average_vision_score_1, 7
total_wards_placed_1, 27
average_creep_score_1, 54
average_champion_experience_1, 7337
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Sett
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
