total_gold_earned_0, 59168
total_gold_spent_0, 50985
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 26
total_deaths_0, 16
total_damage_dealt_to_champions_0, 83857
total_damage_dealt_to_objectives_0, 95963
total_damage_taken_0, 112800
average_vision_score_0, 26
total_wards_placed_0, 46
average_creep_score_0, 134
average_champion_experience_0, 14167
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Morgana
total_gold_earned_1, 53850
total_gold_spent_1, 51125
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 26
total_damage_dealt_to_champions_1, 88868
total_damage_dealt_to_objectives_1, 37281
total_damage_taken_1, 107002
average_vision_score_1, 21
total_wards_placed_1, 57
average_creep_score_1, 138
average_champion_experience_1, 12528
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
