total_gold_earned_0, 56669
total_gold_spent_0, 53630
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 16
total_deaths_0, 46
total_damage_dealt_to_champions_0, 97790
total_damage_dealt_to_objectives_0, 45241
total_damage_taken_0, 131207
average_vision_score_0, 27
total_wards_placed_0, 65
average_creep_score_0, 132
average_champion_experience_0, 12795
dmg_carry_0, 163
obj_carry_0, 163
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Amumu
total_gold_earned_1, 67501
total_gold_spent_1, 62640
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 46
total_deaths_1, 17
total_damage_dealt_to_champions_1, 110154
total_damage_dealt_to_objectives_1, 91401
total_damage_taken_1, 135485
average_vision_score_1, 33
total_wards_placed_1, 67
average_creep_score_1, 117
average_champion_experience_1, 15887
dmg_carry_1, 56
obj_carry_1, 56
team_comp_1_champ_1, Shen
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Swain
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
