total_gold_earned_0, 34082
total_gold_spent_0, 29025
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 10
total_damage_dealt_to_champions_0, 32811
total_damage_dealt_to_objectives_0, 28942
total_damage_taken_0, 38961
average_vision_score_0, 8
total_wards_placed_0, 25
average_creep_score_0, 63
average_champion_experience_0, 6342
dmg_carry_0, 517
obj_carry_0, 517
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Thresh
total_gold_earned_1, 27164
total_gold_spent_1, 24258
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 10
total_deaths_1, 23
total_damage_dealt_to_champions_1, 24786
total_damage_dealt_to_objectives_1, 12897
total_damage_taken_1, 46744
average_vision_score_1, 10
total_wards_placed_1, 24
average_creep_score_1, 57
average_champion_experience_1, 5419
dmg_carry_1, 54
obj_carry_1, 54
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Rengar
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
