total_gold_earned_0, 55124
total_gold_spent_0, 44368
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 19
total_damage_dealt_to_champions_0, 78912
total_damage_dealt_to_objectives_0, 60499
total_damage_taken_0, 94311
average_vision_score_0, 23
total_wards_placed_0, 49
average_creep_score_0, 112
average_champion_experience_0, 13504
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Graves
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Darius
team_comp_0_champ_5, Leona
total_gold_earned_1, 46242
total_gold_spent_1, 44525
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 29
total_damage_dealt_to_champions_1, 64949
total_damage_dealt_to_objectives_1, 47700
total_damage_taken_1, 98991
average_vision_score_1, 17
total_wards_placed_1, 37
average_creep_score_1, 107
average_champion_experience_1, 11011
dmg_carry_1, 131
obj_carry_1, 131
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Chogath
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Rakan
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
