total_gold_earned_0, 49369
total_gold_spent_0, 45850
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 34
total_damage_dealt_to_champions_0, 74212
total_damage_dealt_to_objectives_0, 25314
total_damage_taken_0, 110584
average_vision_score_0, 25
total_wards_placed_0, 66
average_creep_score_0, 107
average_champion_experience_0, 12064
dmg_carry_0, 876
obj_carry_0, 876
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Thresh
total_gold_earned_1, 60347
total_gold_spent_1, 51795
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 34
total_deaths_1, 26
total_damage_dealt_to_champions_1, 90086
total_damage_dealt_to_objectives_1, 63748
total_damage_taken_1, 105820
average_vision_score_1, 35
total_wards_placed_1, 58
average_creep_score_1, 105
average_champion_experience_1, 14132
dmg_carry_1, 517
obj_carry_1, 517
team_comp_1_champ_1, Sett
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
