total_gold_earned_0, 54421
total_gold_spent_0, 55285
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 31
total_damage_dealt_to_champions_0, 97172
total_damage_dealt_to_objectives_0, 46476
total_damage_taken_0, 103022
average_vision_score_0, 23
total_wards_placed_0, 44
average_creep_score_0, 116
average_champion_experience_0, 12079
dmg_carry_0, 30
obj_carry_0, 30
team_comp_0_champ_1, Karthus
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Tristana
team_comp_0_champ_4, Seraphine
team_comp_0_champ_5, Pantheon
total_gold_earned_1, 58489
total_gold_spent_1, 53108
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 31
total_deaths_1, 34
total_damage_dealt_to_champions_1, 82568
total_damage_dealt_to_objectives_1, 67450
total_damage_taken_1, 121470
average_vision_score_1, 15
total_wards_placed_1, 42
average_creep_score_1, 108
average_champion_experience_1, 13841
dmg_carry_1, 887
obj_carry_1, 887
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Azir
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
