total_gold_earned_0, 84427
total_gold_spent_0, 87350
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 5
total_kills_0, 45
total_deaths_0, 52
total_damage_dealt_to_champions_0, 186488
total_damage_dealt_to_objectives_0, 100038
total_damage_taken_0, 231071
average_vision_score_0, 33
total_wards_placed_0, 57
average_creep_score_0, 167
average_champion_experience_0, 19401
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Trundle
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Swain
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Senna
total_gold_earned_1, 93829
total_gold_spent_1, 89400
total_baron_kills_1, 3
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 51
total_deaths_1, 45
total_damage_dealt_to_champions_1, 191424
total_damage_dealt_to_objectives_1, 119791
total_damage_taken_1, 229732
average_vision_score_1, 24
total_wards_placed_1, 66
average_creep_score_1, 181
average_champion_experience_1, 23650
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Gangplank
team_comp_1_champ_2, Zac
team_comp_1_champ_3, Anivia
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Maokai
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
