total_gold_earned_0, 40593
total_gold_spent_0, 36010
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 17
total_deaths_0, 36
total_damage_dealt_to_champions_0, 66952
total_damage_dealt_to_objectives_0, 12356
total_damage_taken_0, 98345
average_vision_score_0, 17
total_wards_placed_0, 43
average_creep_score_0, 91
average_champion_experience_0, 8305
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Ornn
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Qiyana
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Rell
total_gold_earned_1, 52685
total_gold_spent_1, 43750
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 36
total_deaths_1, 17
total_damage_dealt_to_champions_1, 82831
total_damage_dealt_to_objectives_1, 70188
total_damage_taken_1, 95001
average_vision_score_1, 21
total_wards_placed_1, 38
average_creep_score_1, 101
average_champion_experience_1, 11245
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
