total_gold_earned_0, 47240
total_gold_spent_0, 43965
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 37
total_damage_dealt_to_champions_0, 65467
total_damage_dealt_to_objectives_0, 36186
total_damage_taken_0, 115811
average_vision_score_0, 23
total_wards_placed_0, 50
average_creep_score_0, 93
average_champion_experience_0, 10382
dmg_carry_0, 876
obj_carry_0, 876
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Yasuo
team_comp_0_champ_5, Thresh
total_gold_earned_1, 53183
total_gold_spent_1, 47273
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 23
total_damage_dealt_to_champions_1, 92752
total_damage_dealt_to_objectives_1, 64320
total_damage_taken_1, 94116
average_vision_score_1, 21
total_wards_placed_1, 50
average_creep_score_1, 89
average_champion_experience_1, 12310
dmg_carry_1, 63
obj_carry_1, 63
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, Pantheon
team_comp_1_champ_3, Brand
team_comp_1_champ_4, Nautilus
team_comp_1_champ_5, Nilah
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
