total_gold_earned_0, 75899
total_gold_spent_0, 68730
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 42
total_deaths_0, 31
total_damage_dealt_to_champions_0, 128104
total_damage_dealt_to_objectives_0, 89616
total_damage_taken_0, 148345
average_vision_score_0, 30
total_wards_placed_0, 60
average_creep_score_0, 153
average_champion_experience_0, 18561
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Ashe
total_gold_earned_1, 64264
total_gold_spent_1, 61915
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 31
total_deaths_1, 42
total_damage_dealt_to_champions_1, 111707
total_damage_dealt_to_objectives_1, 50585
total_damage_taken_1, 153908
average_vision_score_1, 29
total_wards_placed_1, 69
average_creep_score_1, 153
average_champion_experience_1, 15818
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
