total_gold_earned_0, 48515
total_gold_spent_0, 46680
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 21
total_deaths_0, 39
total_damage_dealt_to_champions_0, 58198
total_damage_dealt_to_objectives_0, 19968
total_damage_taken_0, 109579
average_vision_score_0, 25
total_wards_placed_0, 58
average_creep_score_0, 105
average_champion_experience_0, 10562
dmg_carry_0, 105
obj_carry_0, 105
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Taric
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 58707
total_gold_spent_1, 50908
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 39
total_deaths_1, 21
total_damage_dealt_to_champions_1, 91179
total_damage_dealt_to_objectives_1, 73115
total_damage_taken_1, 97132
average_vision_score_1, 23
total_wards_placed_1, 48
average_creep_score_1, 104
average_champion_experience_1, 13443
dmg_carry_1, 517
obj_carry_1, 517
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
