total_gold_earned_0, 71532
total_gold_spent_0, 69680
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 43
total_damage_dealt_to_champions_0, 115491
total_damage_dealt_to_objectives_0, 61009
total_damage_taken_0, 195304
average_vision_score_0, 31
total_wards_placed_0, 75
average_creep_score_0, 158
average_champion_experience_0, 19294
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Lulu
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Karma
total_gold_earned_1, 76874
total_gold_spent_1, 72875
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 4
total_kills_1, 43
total_deaths_1, 34
total_damage_dealt_to_champions_1, 153682
total_damage_dealt_to_objectives_1, 94682
total_damage_taken_1, 146111
average_vision_score_1, 43
total_wards_placed_1, 87
average_creep_score_1, 137
average_champion_experience_1, 19693
dmg_carry_1, 777
obj_carry_1, 777
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
