total_gold_earned_0, 81825
total_gold_spent_0, 77425
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 47
total_deaths_0, 60
total_damage_dealt_to_champions_0, 170095
total_damage_dealt_to_objectives_0, 64914
total_damage_taken_0, 238114
average_vision_score_0, 41
total_wards_placed_0, 73
average_creep_score_0, 134
average_champion_experience_0, 19633
dmg_carry_0, 9
obj_carry_0, 9
team_comp_0_champ_1, Chogath
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Pantheon
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, FiddleSticks
total_gold_earned_1, 86068
total_gold_spent_1, 72165
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 2
total_kills_1, 60
total_deaths_1, 47
total_damage_dealt_to_champions_1, 200605
total_damage_dealt_to_objectives_1, 101499
total_damage_taken_1, 201726
average_vision_score_1, 41
total_wards_placed_1, 79
average_creep_score_1, 144
average_champion_experience_1, 21722
dmg_carry_1, 25
obj_carry_1, 25
team_comp_1_champ_1, Gnar
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Morgana
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
